TU_ID,Gene_name,Start,End,Strand,Expression_EP,Expression_SP,Description
111,frr,192814,193497,+,30.89348865,17.33998397,frr
112,ispU,194784,195663,+,10.07309176,3.944317137,ispU
113,ispU,194901,195663,+,11.56032296,4.496122981,ispU
114,rseP,196470,197897,+,12.14075374,5.99284192,rseP
115,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,197026,208607,+,15.68392934,5.794525784,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
116,bamA,197821,200359,+,25.39200021,9.632250098,bamA
117,skp-lpxD-fabZ-lpxA,200455,203347,+,30.61024489,10.62666292,skp-lpxD-fabZ-lpxA
118,lpxD,200960,201995,+,27.58336148,11.81382437,lpxD
119,accA,208326,209579,+,14.78374594,4.485172111,accA
120,accA,208411,209579,+,15.07777715,4.578049466,accA
121,yaeP-rof,213678,214186,-,3.692367381,5.314785116,yaeP-rof
122,yaeQ-arfB-nlpE,214280,215978,+,2.724240237,1.990623152,yaeQ-arfB-nlpE
123,proS,217020,218836,-,11.51628647,5.422600569,proS
124,metNIQ,220113,222713,-,4.102849909,1.296196142,metNIQ
125,gmhB,222806,223407,+,5.209313154,3.534171961,gmhB
126,rrsH-ileV-alaV-rrlH-rrfH,223485,228874,+,25252.94626,25519.22378,rrsH-ileV-alaV-rrlH-rrfH
127,rrsH-ileV-alaV-rrlH-rrfH,223593,228874,+,25769.15378,26040.88581,rrsH-ileV-alaV-rrlH-rrfH
128,dkgB,229098,229969,+,1.141403749,1.352055791,dkgB
129,yafDE,231064,232548,+,1.800391363,3.64234384,yafDE
130,dnaQ,235934,236797,+,1.996097576,4.566132667,dnaQ
131,dnaQ,236017,236797,+,2.130969149,5.025311477,dnaQ
132,rnhA,235535,236040,-,2.471662837,2.142026176,rnhA
133,aspV,236913,237066,+,1.341733079,1.487617046,aspV
134,yafV,239419,240215,-,1.39641899,1.664166608,yafV
135,fadE,240859,243405,-,0.240371173,0.49897465,fadE
136,dinJ-yafQ,245961,246614,-,4.14448866,15.80468081,dinJ-yafQ
137,dinB-yafNOP,250880,253160,+,0.484883236,0.447874523,dinB-yafNOP
138,yafNOP,251969,253160,+,0.512313088,0.404174795,yafNOP
139,pepD,254259,255736,-,22.13229349,7.104378195,pepD
140,pepD,254259,255775,-,21.57173343,6.921854645,pepD
141,pepD,254259,255808,-,21.11276038,6.783474948,pepD
142,gpt,255914,256473,+,5.062150679,3.886425929,gpt
143,frsA,256502,257770,+,1.9804261,2.078320012,frsA
144,crl_1,257810,257906,+,5.083459885,5.685426275,crl_1
145,crl_1,257824,257906,+,5.715558707,6.358971362,crl_1
146,phoE,258269,259381,-,180.8511325,0.564821057,phoE
147,thrW,262065,262169,+,6.525888613,28.42678339,thrW
148,ykfBF-yafX-ykfGH-yafW-ykfI,262552,265381,-,1.020414446,1.152538474,ykfBF-yafX-ykfGH-yafW-ykfI
149,ykfBF-yafX-ykfGH-yafW-ykfI,262552,265450,-,0.998337832,1.125116007,ykfBF-yafX-ykfGH-yafW-ykfI
150,yafZ,266408,267249,-,0.274219887,0.269331841,yafZ
151,insN-1I-1O-1,269450,271478,+,1.452125312,0.912458378,insN-1I-1O-1
152,mhpT,374610,375893,+,0.093129457,0.132417846,mhpT
153,tauABCD,384429,387869,+,0.078012947,0.066661692,tauABCD
154,hemB,387977,388977,-,10.34515329,2.275401193,hemB
155,ampH,394354,395542,-,0.873206622,0.373490933,ampH
156,ampH,394354,395586,-,0.842071216,0.360173591,ampH
157,sbmA-yaiW,395777,398189,+,1.063803398,0.796495199,sbmA-yaiW
158,yaiZ,398678,399028,+,0.81327483,0.703237108,yaiZ
159,iraP,400543,400869,+,5.910930939,16.51126103,iraP
160,iraP,400587,400869,+,6.826708972,19.06934373,iraP
161,phoA-psiF,400931,402824,+,67.00108805,3.844350998,phoA-psiF
162,dgcC,402911,404041,+,0.297836991,0.196533866,dgcC
163,proC,404010,404909,-,2.106207102,2.273422827,proC
164,aroL-yaiA-aroM,405504,407328,+,2.796201096,5.027514804,aroL-yaiA-aroM
165,aroL-yaiA-aroM,405579,407328,+,2.905550177,5.242856672,aroL-yaiA-aroM
166,ppnP,407372,407684,+,9.996016114,5.62838742,ppnP
167,ykiA,407798,408173,+,0.86101389,0.258361636,ykiA
168,araJ,410521,411752,-,0.277288098,0.135918878,araJ
169,sbcDC,411831,416200,-,0.874739149,0.545965947,sbcDC
170,phoBR,416325,418407,+,12.43410794,2.665973938,phoBR
171,brnQ-proY,418712,421582,+,1.004024154,1.200855411,brnQ-proY
172,malZ,421719,423731,+,0.626340656,0.268257439,malZ
173,malZ,421719,423776,+,0.615489529,0.269174808,malZ
174,queA,424209,425304,+,2.954096878,1.047027878,queA
175,tgt-yajC,425279,427009,+,16.83896061,6.047984936,tgt-yajC
176,yajC-secDF,426429,429699,+,19.10864657,6.966531735,yajC-secDF
177,tsx,430320,431314,-,54.65878014,13.05820804,tsx
178,tsx,430320,431468,-,47.37113687,11.31763667,tsx
179,nrdR-ribDE-nusB-thiL-pgpA,432201,436330,+,3.667923804,2.559840674,nrdR-ribDE-nusB-thiL-pgpA
180,ribE-nusB-thiL-pgpA,433728,436330,+,4.282364546,2.43632413,ribE-nusB-thiL-pgpA
181,xseB-ispA-dxs-yajO,436385,440596,-,4.181138599,4.55216784,xseB-ispA-dxs-yajO
182,thiI,440692,442220,+,4.14470464,1.379712883,thiI
183,yajQ,443882,444397,+,23.80634184,17.40626672,yajQ
184,yajR,444526,445910,-,0.852980922,0.408724943,yajR
185,cyoABCDE,446039,450876,-,59.32087888,2.218122883,cyoABCDE
186,yajG,452781,453433,-,17.08525401,4.906338439,yajG
187,yajG-ampG,451294,453433,-,6.910015227,1.783918791,yajG-ampG
188,bolA,453573,454088,+,8.938773848,56.8288022,bolA
189,bolA,453658,454088,+,10.67011031,67.94435823,bolA
190,tig,454217,455654,+,121.0295916,16.25680946,tig
191,tig,454346,455654,+,130.3962239,17.61382524,tig
192,clpPX,455801,457978,+,17.05474278,14.69998304,clpPX
193,clpPX,455829,457978,+,17.26809336,14.88708611,clpPX
194,clpPX,455870,457978,+,17.56914104,15.17636124,clpPX
195,clpX-lon,456426,460465,+,15.05833896,10.92491114,clpX-lon
196,lon,458039,460465,+,14.67859981,7.04052216,lon
197,hupB,460529,460965,+,87.99413798,19.22150022,hupB
198,hupB,460529,461001,+,81.38614589,17.78109912,hupB
199,hupB,460556,460965,+,93.77477478,20.48422651,hupB
200,hupB,460556,461001,+,86.30208759,18.85512524,hupB
201,hupB,460619,460965,+,110.7003769,24.16583371,hupB
202,hupB,460619,461001,+,100.4149267,21.92430734,hupB
203,hupB,460666,460965,+,124.6676551,27.09821847,hupB
204,hupB,460666,461001,+,111.4556822,24.23082388,hupB
205,ppiD,461043,463009,+,13.94877974,4.893935706,ppiD
206,ppiD,461062,463009,+,13.95416097,4.904938456,ppiD
207,fadM,463584,464023,+,0.602785095,2.878750748,fadM
208,decR,467576,468064,+,1.533691738,0.463021607,decR
209,glnK-amtB,471780,473524,+,0.245105344,0.309447899,glnK-amtB
210,tesB,473525,474424,-,0.609060254,0.584247664,tesB
211,ylaC,478005,478511,-,6.764910856,4.799867496,ylaC
212,tomB-hha,479314,480017,-,8.000048249,3.256731383,tomB-hha
213,acrB,480478,483908,-,11.32742331,1.727468186,acrB
214,acrAB,480478,484921,-,11.882935,2.190089941,acrAB
215,acrR,484923,485631,+,2.475552222,1.915635676,acrR
216,mscK,485716,489121,+,1.353068294,1.284871736,mscK
217,apt,490534,491186,+,6.759162326,3.655551567,apt
218,dnaX,491280,493246,+,1.58757013,0.953188412,dnaX
219,ybaB-recR,492933,494233,+,10.89591925,4.876223262,ybaB-recR
220,htpG,494041,496217,+,22.92385794,18.58082127,htpG
221,htpG,494299,496252,+,24.89469121,20.38540955,htpG
222,htpG,494308,496252,+,25.00982596,20.47968945,htpG
223,adk,496363,497042,+,33.97383891,10.07264608,adk
224,hemH,497255,498240,+,1.178004518,0.938448653,hemH
225,aes,498169,499274,-,0.310455421,0.330932191,aes
226,ybaL,500786,502518,-,2.387428521,1.635533888,ybaL
227,chiX,506428,506510,+,0.588514502,0.054409587,chiX
228,ybaQ,507415,507782,+,4.994466333,5.822376475,ybaQ
229,copA,508099,510634,-,0.646103744,3.315973937,copA
230,glsA-ybaT,510797,513091,+,0.155800434,14.99371337,glsA-ybaT
231,qmcA-ybbJ,513625,515046,-,1.052515527,2.255674909,qmcA-ybbJ
232,fetAB,515127,516585,+,1.642504719,0.575353978,fetAB
233,ybbN,516649,517713,-,4.55303846,3.831945527,ybbN
234,tesA-ybbO,517564,519172,-,1.610668536,1.950764766,tesA-ybbO
235,allS,530519,531523,-,0.023403722,0.109161332,allS
236,allA,531614,532156,+,0.323325894,0.353327516,allA
237,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,533131,542256,+,0.048412925,0.169099528,gcl-hyi-glxR-ybbW-allB-ybbY-glxK
238,ybbY-glxK,539583,542256,+,0.065863103,0.416709866,ybbY-glxK
239,allDCE,542485,545634,-,0.282149886,0.056792738,allDCE
240,purEK,550750,552364,-,0.65857998,0.15100935,purEK
241,cysS,553800,555218,+,4.35437226,1.643265527,cysS
242,folD-ybcJ,555884,557003,-,3.922459873,1.591975716,folD-ybcJ
243,argU,563926,564021,+,1.008075499,0.533973122,argU
244,nmpC,574981,576092,-,53.95976985,9.094043922,nmpC
245,essD-rrrD-rzpD,576096,577790,+,0.562347923,0.0831007,essD-rrrD-rzpD
246,borD,577823,578143,-,9.056924354,0.159565242,borD
247,appY,582790,583652,+,0.055529227,0.134980733,appY
248,appY,582879,583652,+,0.061906132,0.150481747,appY
249,ompT,583903,584887,-,124.1989684,1.471445051,ompT
250,cusRS,592551,594684,-,0.402054088,0.558818241,cusRS
251,cusCFBA,594796,601079,+,0.126261895,0.059523058,cusCFBA
252,pheP,601152,602631,+,1.110366986,0.499515363,pheP
253,nfsB,603994,604675,-,9.441129831,2.471967792,nfsB
254,hokE,606954,607210,+,0.045962883,0.241536949,hokE
255,fepA-entD,608682,611889,-,0.275164928,0.132163793,fepA-entD
256,fes-ybdZ-entF-fepE,611910,618609,+,0.256657226,0.070018885,fes-ybdZ-entF-fepE
257,fepDGC,618607,621414,-,0.286077264,0.056706818,fepDGC
258,fepDGC,618607,621456,-,0.281862868,0.055871432,fepDGC
259,entS,621476,622772,+,0.20481793,0.05783846,entS
260,entS,621481,622772,+,0.205609956,0.05806212,entS
261,fepB,622777,623949,-,0.442044259,0.262353282,fepB
262,entCEBAH,624054,628935,+,0.407881188,0.153927935,entCEBAH
263,entH,628515,628935,+,0.901008819,0.424028167,entH
264,cstA,629078,631313,+,1.50281599,0.621087657,cstA
265,cstA,629087,631313,+,1.508886611,0.623596539,cstA
266,cstA,629096,631313,+,1.515006476,0.626125772,cstA
267,ybdN,634572,635908,-,0.073894198,0.104490051,ybdN
268,ahpCF,637916,640540,+,46.78014344,50.68943347,ahpCF
269,dsbG,637050,638022,-,2.872695525,2.440616191,dsbG
270,ahpCF,638144,640540,+,50.92740691,55.01397364,ahpCF
271,ahpF,638225,640540,+,44.41076545,46.93923968,ahpF
272,uspG,640662,641125,-,6.130686689,17.75122951,uspG
273,rna,643420,644256,-,5.155012429,3.056121043,rna
274,citCDEFXG,645854,651174,-,0.039012255,0.029704868,citCDEFXG
275,dpiBA,651207,653764,+,0.265154197,0.141962074,dpiBA
276,citCDEFXG,645854,651261,-,0.03838477,0.029227086,citCDEFXG
277,dpiBA,651395,653764,+,0.286178654,0.153218451,dpiBA
278,dcuC,655408,656504,-,0.55960408,0.155360974,dcuC
279,pagP,658070,658660,+,0.404568262,1.103290154,pagP
280,cspE,658691,659044,+,142.3354223,315.6395911,cspE
281,cspE,658794,659044,+,200.3152442,444.2128233,cspE
282,lipA,660795,661844,-,11.19977512,3.756320166,lipA
283,ybeD-lipB,663181,664249,-,4.339997559,9.615206131,ybeD-lipB
284,rsfS-rlmH-mrdAB-rlpA,665646,670615,-,3.872754779,1.659119206,rsfS-rlmH-mrdAB-rlpA
285,ybeL,676537,677043,+,4.984718475,34.82681137,ybeL
286,gltI-sroC-gltJKL,686074,689439,-,3.189997099,2.338554516,gltI-sroC-gltJKL
287,ybeZYX-lnt,690887,695012,-,8.391414499,10.91983685,ybeZYX-lnt
288,metT-leuW-glnUW-metU-glnVX,697936,698706,-,15.80574102,1.948834048,metT-leuW-glnUW-metU-glnVX
289,asnB,699057,700765,-,3.128119114,2.625291233,asnB
290,umpH,701118,701895,-,2.787902387,0.760723901,umpH
291,nagC,701918,703408,-,2.297929082,1.556538128,nagC
292,nagC,701918,703551,-,2.402816767,1.564486454,nagC
293,nagA,703147,704718,-,5.109219158,2.097695841,nagA
294,nagBAC-umpH,701118,705251,-,4.263375073,1.567891206,nagBAC-umpH
295,nagE,705384,707508,+,10.27035805,0.660985806,nagE
296,glnS,707543,709521,+,10.00098446,3.883231808,glnS
297,glnS,707604,709521,+,10.31888965,4.006669609,glnS
298,chiPQ,709780,711659,+,0.766095645,0.10062165,chiPQ
299,fur,711662,712259,-,29.43717653,25.41422666,fur
300,fur,711706,712259,-,31.75942761,27.42904823,fur
301,fur,711662,712266,-,29.09714313,25.12820491,fur
302,fur,711706,712266,-,31.36384755,27.09553768,fur
303,uof-fur,711662,712372,-,25.18221922,22.00345353,uof-fur
304,uof-fur,711706,712372,-,26.83136777,23.45278281,uof-fur
305,fldA-uof-fur,711662,713064,-,17.82990946,16.07895519,fldA-uof-fur
306,fldA-uof-fur,711706,713064,-,18.40206358,16.59915668,fldA-uof-fur
307,ybfE,713149,713482,-,4.129392692,1.087549163,ybfE
308,seqA-pgm,714486,716785,+,11.61278071,5.854879718,seqA-pgm
309,ybfHG,717491,718184,-,0.068498416,0,ybfHG
310,kdpFABC,725951,730392,-,0.025947886,0.038705082,kdpFABC
311,ybgA-phr,740464,742468,+,0.287280674,1.83849882,ybgA-phr
312,ybgA-phr,740524,742468,+,0.296138249,1.888095755,ybgA-phr
313,phr,740965,742468,+,0.266651266,1.375294431,phr
314,ybgI-pxpBCA-nei,744163,748269,+,1.901003695,3.104676983,ybgI-pxpBCA-nei
315,ybgI-pxpBCA-nei,744342,748269,+,1.986079821,3.24258989,ybgI-pxpBCA-nei
316,gltA,754670,756213,-,68.96144092,27.59974822,gltA
317,gltA,754670,756310,-,64.93482864,26.00033501,gltA
318,sdhCDAB-sucABCD,756502,766592,+,25.10223059,8.081513511,sdhCDAB-sucABCD
319,sdhDAB,756948,759993,+,24.92576023,5.90123691,sdhDAB
320,sucABCD,760130,766592,+,23.68958891,8.616700521,sucABCD
321,sucAB,760130,764509,+,21.57806223,7.686681762,sucAB
322,mngAB,767355,772154,+,0.143908795,0.163166465,mngAB
323,mngR,766697,767469,-,1.575946907,0.948835948,mngR
324,cydAB,772714,775724,+,15.37684985,34.3117016,cydAB
325,cydAB,772746,775724,+,15.538049,34.6801494,cydAB
326,cydAB,772757,775724,+,15.59561672,34.80863766,cydAB
327,cydAB,772828,775724,+,15.97109275,35.65825442,cydAB
328,cydAB,772912,775724,+,16.3710878,36.66062637,cydAB
329,lysT-valT-lysW,782058,782461,+,31.68987838,10.24017292,lysT-valT-lysW
330,nadA-pnuC,783605,785428,+,0.634776588,0.959188202,nadA-pnuC
331,aroG,787135,788364,+,9.665207996,8.433347966,aroG
332,gpmA,788387,789175,-,48.2679335,44.79845985,gpmA
333,gpmA,788387,789213,-,46.06000366,42.74811203,gpmA
334,galK,790375,792006,-,1.486634661,1.624628269,galK
335,galETKM,789307,793624,-,1.871821408,1.977957704,galETKM
336,galE,792367,793624,-,0.353861329,0.522404019,galE
337,galE,791856,793624,-,0.410870625,0.503612599,galE
338,galET,791384,793624,-,0.42909927,0.552679873,galET
339,galET,791496,793624,-,0.419713452,0.528083887,galET
340,galETK,790159,793624,-,1.25716089,1.401192753,galETK
341,galETKM,789341,793629,-,1.879928206,1.972721308,galETKM
342,galE,792583,793629,-,0.400919748,0.537092823,galE
343,galET,791527,793629,-,0.424124992,0.519738611,galET
344,galETK,790375,793629,-,0.947606428,1.073913779,galETK
345,galETKM,789341,793720,-,1.849044835,1.939791456,galETKM
346,ybhC,807542,808864,-,3.576891754,0.58352857,ybhC
347,bioA,809512,810835,-,0.500639953,1.457238898,bioA
348,bioBFCD,810846,814490,+,0.193807004,0.267121158,bioBFCD
349,uvrB,814696,817090,+,1.708048246,5.01960179,uvrB
350,uvrB,815006,817090,+,1.950333603,5.677260514,uvrB
351,uvrB,815037,817090,+,1.979754694,5.751701826,uvrB
352,moaABCDE,818371,821290,+,1.119021779,3.094942507,moaABCDE
353,moaABCDE,818458,821290,+,1.151251607,3.189953092,moaABCDE
354,moaBCDE,819521,821290,+,1.087086821,3.474810732,moaBCDE
355,ybhL,821402,822131,+,5.064575844,10.0995797,ybhL
356,ybhQ,826145,826583,+,6.642679851,5.432104892,ybhQ
357,cecR-ybhGFSR,826546,832212,-,0.5052377,0.469386138,cecR-ybhGFSR
358,dinG-ybiB,834617,837753,+,1.323399731,0.8413102,dinG-ybiB
359,ybiI,839734,840027,-,0.223809976,2.103270404,ybiI
360,fiu,840793,843191,-,0.631359833,0.095569361,fiu
361,mcbA,843340,843696,-,0.28786922,13.22793787,mcbA
362,glnQ,847285,848174,-,2.529264328,2.173399722,glnQ
363,glnHPQ,847285,849590,-,3.893279154,6.729143613,glnHPQ
364,glnHPQ,847285,849741,-,3.659001683,6.330802662,glnHPQ
365,dps,849952,850493,-,22.48022149,1989.315265,dps
366,ompX,851753,852552,+,129.2886525,87.52380311,ompX
367,ompX,851963,852552,+,167.5056817,117.3207444,ompX
368,rybA-mntS,854269,854607,-,5.174465346,5.761798014,rybA-mntS
369,mntR-ybiR,854642,856308,+,2.002644523,1.609862728,mntR-ybiR
370,ldtB,856368,857329,-,5.749317464,8.07385318,ldtB
371,ybiT,857491,859098,+,7.183287797,2.496928551,ybiT
372,moeAB,865924,867937,-,0.836721314,0.898336684,moeAB
373,iaaA-gsiABCD,868081,874344,+,0.668465846,1.27473594,iaaA-gsiABCD
374,rimO,878254,879613,-,3.146377455,1.391000654,rimO
375,gstB,881398,882062,-,3.460017022,3.544043474,gstB
376,dacC,882197,883472,+,3.310761455,4.055648095,dacC
377,ybjG,884336,885051,-,2.663180097,0.402033089,ybjG
378,mdfA,885113,886481,+,0.753725692,0.436940341,mdfA
379,mdfA,885193,886481,+,0.800468371,0.464037416,mdfA
380,rybB,889521,889600,-,1.49329154,0.303267455,rybB
381,grxA,892040,892319,-,1.346517636,1.423023984,grxA
382,ybjC-nfsA-rimK-ybjN,892436,894976,+,6.61470166,1.94234787,ybjC-nfsA-rimK-ybjN
383,rimK-ybjN,893420,894976,+,5.302012496,2.107978186,rimK-ybjN
384,potFGHI,895178,899472,+,0.119457173,0.086760262,potFGHI
385,potFGHI,895280,899472,+,0.118012202,0.086651198,potFGHI
386,artJ,901192,902169,-,0.492351471,0.231042311,artJ
387,artPIQM,902239,905312,-,2.435686536,8.174467169,artPIQM
388,artPIQM,902239,905358,-,2.399787279,8.053984794,artPIQM
389,artPIQM,902239,905379,-,2.383747963,8.000154851,artPIQM
390,artPIQM,902239,905386,-,2.378449063,7.982371084,artPIQM
391,ybjQ-amiD,906061,907286,+,1.479242873,1.517401621,ybjQ-amiD
